Processing Order,Target Picture,Reference Pic0,Reference Pic1
0,0 (X),-,- 
1,32 (X),-,- 
2,16,0,32 
3,8,0,16 
4,4,0,8 
5,2,0,4 
6,1,0,2 
7,3,2,4 
8,6,4,8 
9,5,4,6 
10,7,6,8 
11,12,8,16 
12,10,8,12 
13,9,8,10 
14,11,10,12 
15,14,12,16 
16,13,12,14 
17,15,14,16 
18,24,16,32 
19,20,16,24 
20,18,16,20 
21,17,16,18 
22,19,18,20 
23,22,20,24 
24,21,20,22 
25,23,22,24 
26,28,24,32 
27,26,24,28 
28,25,24,26 
29,27,26,28 
30,30,28,32 
31,29,28,30 
32,31,30,32 
33,64 (X),-,- 
34,48,32,64 
35,40,32,48 
36,36,32,40 
37,34,32,36 
38,33,32,34 
39,35,34,36 
40,38,36,40 
41,37,36,38 
42,39,38,40 
43,44,40,48 
44,42,40,44 
45,41,40,42 
46,43,42,44 
47,46,44,48 
48,45,44,46 
49,47,46,48 
50,56,48,64 
51,52,48,56 
52,50,48,52 
53,49,48,50 
54,51,50,52 
55,54,52,56 
56,53,52,54 
57,55,54,56 
58,60,56,64 
59,58,56,60 
60,57,56,58 
61,59,58,60 
62,62,60,64 
63,61,60,62 
64,63,62,64 
65,96 (X),-,- 
66,80,64,96 
67,72,64,80 
68,68,64,72 
69,66,64,68 
70,65,64,66 
71,67,66,68 
72,70,68,72 
73,69,68,70 
74,71,70,72 
75,76,72,80 
76,74,72,76 
77,73,72,74 
78,75,74,76 
79,78,76,80 
80,77,76,78 
81,79,78,80 
82,88,80,96 
83,84,80,88 
84,82,80,84 
85,81,80,82 
86,83,82,84 
87,86,84,88 
88,85,84,86 
89,87,86,88 
90,92,88,96 
91,90,88,92 
92,89,88,90 
93,91,90,92 
94,94,92,96 
95,93,92,94 
96,95,94,96 
97,128 (X),-,- 
98,112,96,128 
99,104,96,112 
100,100,96,104 
101,98,96,100 
102,97,96,98 
103,99,98,100 
104,102,100,104 
105,101,100,102 
106,103,102,104 
107,108,104,112 
108,106,104,108 
109,105,104,106 
110,107,106,108 
111,110,108,112 
112,109,108,110 
113,111,110,112 
114,120,112,128 
115,116,112,120 
116,114,112,116 
117,113,112,114 
118,115,114,116 
119,118,116,120 
120,117,116,118 
121,119,118,120 
122,124,120,128 
123,122,120,124 
124,121,120,122 
125,123,122,124 
126,126,124,128 
127,125,124,126 
128,127,126,128 
